,time,posEst_J_0,posEst_J_1,posEst_J_2,velEst_J_0,velEst_J_1,velEst_J_2,angRateEst_LI_L_0,angRateEst_LI_L_1,angRateEst_LI_L_2
4431,2215.5,-3558677.4585644947,-5931170.44046254,-920974.2955380569,6451.262278094615,-3783.080140667933,-854.4552616440941,0.0,-0.0010963170221320242,0.0
4432,2216.0,-3555450.784324663,-5933060.240598428,-921401.2529709887,6453.347843044985,-3779.5999118037876,-853.9147838628584,0.0,-0.0010963179750870975,0.0
4433,2216.5,-3552223.068257025,-5934948.3000795,-921827.9400419625,6455.4314984701105,-3776.11860250982,-853.374059999469,0.0,-0.0010963189280310994,0.0
4434,2217.0,-3548994.3113166257,-5936834.618366048,-922254.3566280165,6457.513243803942,-3772.6362137994156,-852.8330902125666,0.0,-0.0010963198809640418,0.0
4435,2217.5,-3545764.5144587937,-5938719.19491887,-922680.502606268,6459.593078480968,-3769.15274668622,-852.2918746608536,0.0,-0.001096320833885933,0.0
4436,2218.0,-3542533.67863914,-5940602.029199272,-923106.3778539143,6461.671001936216,-3765.6682021841375,-851.7504135030939,0.0,-0.001096321786796786,0.0
4437,2218.5,-3539301.804813558,-5942483.120669067,-923531.9822482315,6463.7470136052525,-3762.182581307332,-851.2087068981128,0.0,-0.001096322739696609,0.0
4438,2219.0,-3536068.8939382224,-5944362.468790574,-923957.3156665756,6465.821112924182,-3758.6958850702263,-850.6667550047973,0.0,-0.001096323692585413,0.0
4439,2219.5,-3532834.9469695906,-5946240.07302662,-924382.3779863818,6467.893299329649,-3755.208114487502,-850.1245579820956,0.0,-0.0010963246454632097,0.0
4440,2220.0,-3529599.9648644007,-5948115.93284054,-924807.1690851649,6469.963572258839,-3751.7192705740986,-849.5821159890173,0.0,-0.0010963255983300066,0.0
4441,2220.5,-3526363.948579672,-5949990.047696177,-925231.6888405193,6472.031931149474,-3748.2293543452142,-849.0394291846335,0.0,-0.0010963265511858156,0.0
4442,2221.0,-3523126.899072704,-5951862.41705788,-925655.9371301188,6474.098375439816,-3744.7383668163047,-848.4964977280764,0.0,-0.0010963275040306486,0.0
4443,2221.5,-3519888.8173010782,-5953733.040390507,-926079.9138317171,6476.162904568668,-3741.2463090030833,-847.9533217785395,0.0,-0.0010963284568645132,0.0
4444,2222.0,-3516649.704222656,-5955601.917159424,-926503.6188231471,6478.225517975371,-3737.75318192152,-847.4099014952776,0.0,-0.001096329409687422,0.0
4445,2222.5,-3513409.560795578,-5957469.046830504,-926927.0519823218,6480.286215099807,-3734.2589865878435,-846.8662370376065,0.0,-0.0010963303624993849,0.0
4446,2223.0,-3510168.387978266,-5959334.42887013,-927350.2131872335,6482.344995382397,-3730.7637240185372,-846.3223285649034,0.0,-0.0010963313153004109,0.0
4447,2223.5,-3506926.18672942,-5961198.062745193,-927773.1023159545,6484.401858264103,-3727.2673952303426,-845.7781762366061,0.0,-0.0010963322680905116,0.0
4448,2224.0,-3503682.9580080197,-5963059.947923091,-928195.7192466367,6486.456803186425,-3723.770001240257,-845.2337802122139,0.0,-0.0010963332208696983,0.0
4449,2224.5,-3500438.702773324,-5964920.0838717325,-928618.0638575119,6488.509829591404,-3720.271543065533,-844.6891406512868,0.0,-0.0010963341736379803,0.0
4450,2225.0,-3497193.421984871,-5966778.470059533,-929040.1360268914,6490.560936921623,-3716.7720217236797,-844.144257713446,0.0,-0.0010963351263953678,0.0
4451,2225.5,-3493947.1166024758,-5968635.105955418,-929461.9356331668,6492.610124620203,-3713.2714382324616,-843.5991315583732,0.0,-0.0010963360791418704,0.0
4452,2226.0,-3490699.7875862326,-5970489.991028822,-929883.4625548093,6494.657392130807,-3709.769793609898,-843.0537623458114,0.0,-0.001096337031877501,0.0
4453,2226.5,-3487451.4358965135,-5972343.124749688,-930304.7166703701,6496.702738897638,-3706.267088874263,-842.508150235564,0.0,-0.0010963379846022684,0.0
4454,2227.0,-3484202.0624939683,-5974194.50658847,-930725.6978584802,6498.746164365438,-3702.763325044086,-841.9622953874956,0.0,-0.0010963389373161816,0.0
4455,2227.5,-3480951.6683395235,-5976044.136016129,-931146.4059978506,6500.787667979492,-3699.2585031381495,-841.4161979615312,0.0,-0.0010963398900192547,0.0
4456,2228.0,-3477700.2543943836,-5977892.012504136,-931566.8409672724,6502.827249185625,-3695.752624175492,-840.8698581176566,0.0,-0.0010963408427114958,0.0
4457,2228.5,-3474447.8216200294,-5979738.135524474,-931987.0026456167,6504.864907430203,-3692.2456891754046,-840.3232760159182,0.0,-0.0010963417953929148,0.0
